fold_id,model,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
49,ensemble,0.4802159455698838,0.44038691102399063,0.5547427653966475,0.09505856205040303,0.22169811320754718,0.9605681896209717,2019-02-07,2020-02-07,2021-02-05
50,ensemble,0.33956470373891906,0.3575079337290472,0.6304267811457973,0.1393472522916928,0.1509433962264151,0.9094051122665405,2019-05-09,2020-05-08,2021-05-07
51,ensemble,0.48239036140435865,0.4867369622686854,0.5523135100377284,0.08194246454417985,0.1650943396226415,0.8505310416221619,2019-08-08,2020-08-07,2021-08-06
52,ensemble,0.36120030189109137,0.3922235929884048,0.6167747279930221,0.18227131909607722,0.16037735849056603,0.8776007294654846,2019-11-06,2020-11-05,2021-11-04
53,ensemble,0.43381857405331314,0.4675595238095238,0.5754711538514475,0.14329903982055017,0.2169811320754717,0.8316942453384399,2020-02-07,2021-02-08,2022-02-04
54,ensemble,0.5371762670376325,0.5496968345805555,0.5170093913791346,0.06012813194256993,0.19811320754716982,0.8322256803512573,2020-05-08,2021-05-10,2022-05-06
55,ensemble,0.42733936570202236,0.43403102284527517,0.5023304931183749,0.06452478335496967,0.25,0.7961786985397339,2020-08-07,2021-08-09,2022-08-08
56,ensemble,0.5767090620031796,0.6043703007518797,0.48664976453738,0.021730153913229303,0.1509433962264151,0.8289681673049927,2020-11-05,2021-11-05,2022-11-04
57,ensemble,0.448482586484406,0.5279132791327913,0.542828925183719,0.1123312921591208,0.16981132075471697,0.8598077893257141,2021-02-08,2022-02-07,2023-02-07
58,ensemble,0.41236479920236263,0.5140556222488996,0.5137674163772554,0.06686553275081475,0.1179245283018868,0.863285481929779,2021-05-10,2022-05-09,2023-05-09
59,ensemble,0.5852783906554185,0.5915604279686558,0.513293476800944,0.021718727870726238,0.12264150943396226,0.9310179352760315,2021-08-09,2022-08-09,2023-08-09
60,ensemble,0.49871066212247306,0.5438251225188788,0.5621820581654856,0.027530301344786432,0.18867924528301888,0.9431595206260681,2021-11-05,2022-11-07,2023-11-07
61,ensemble,0.37290619920200974,0.4504065040650407,0.6025087302905586,0.13757014806281792,0.15566037735849056,0.9433344006538391,2022-02-07,2023-02-08,2024-02-08
62,ensemble,0.2986790979950228,0.32025193798449614,0.6260886363669157,0.19939089884780384,0.12735849056603774,0.8853983283042908,2022-05-09,2023-05-10,2024-05-09
63,ensemble,0.4054878048780488,0.439959053450102,0.5892338519721922,0.1026090145670752,0.14622641509433962,0.9354378581047058,2022-08-09,2023-08-10,2024-08-09
64,ensemble,0.41298699984995285,0.4202977074473637,0.5725242576700492,0.17349651679746422,0.1650943396226415,0.8754835724830627,2022-11-07,2023-11-08,2024-11-07
65,ensemble,0.4939195098500666,0.49381100456920135,0.557131622462587,0.14855577506369827,0.19339622641509435,0.90687096118927,2023-02-08,2024-02-09,2025-02-11
66,ensemble,0.6201163931061222,0.6618108719954777,0.48784321454508817,0.07868133968030906,0.20754716981132076,0.9115050435066223,2023-05-10,2024-05-10,2025-05-13
67,ensemble,0.48409924161119555,0.49632169963916883,0.5352613287133497,0.10756016057421905,0.21226415094339623,0.9697824120521545,2023-08-10,2024-08-12,2025-08-13
68,ensemble,0.48477550130775937,0.5143956043956044,0.5515464556979536,0.07246795422594313,0.1792452830188679,0.9525210857391357,2023-11-08,2024-11-08,2025-11-11
69,ensemble,0.4515606091063408,0.48893000338462334,0.5777017165195076,0.07311685698133119,0.18396226415094338,0.9731724262237549,2024-02-09,2025-02-12,2026-02-12
70,ensemble,0.4120501427002975,0.41261330668110324,0.5698940674129469,0.08475186203567074,0.32547169811320753,0.9927310943603516,2024-05-10,2025-05-14,2026-05-14
